Start,End,Sequence,Length,Color
28[69],24[56],??????????????????????????????????????????,42,#cc0000
28[195],24[182],??????????????????????????????????????????,42,#f7931e
33[182],31[195],??????????????????????????????????????????,42,#007200
16[153],12[140],??????????????????????????????????????????,42,#aaaa00
35[84],33[97],??????????????????????????????????????????,42,#333333
26[167],28[154],??????????????????????????????????????????,42,#888888
9[224],11[237],??????????????????????????????????????????,42,#03b6a2
27[182],25[195],??????????????????????????????????????????,42,#57bb00
15[140],13[153],??????????????????????????????????????????,42,#f7931e
14[125],16[112],??????????????????????????????????????????,42,#57bb00
24[139],26[126],??????????????????????????????????????????,42,#888888
11[42],9[55],??????????????????????????????????????????,42,#b8056c
3[98],1[111],??????????????????????????????????????????,42,#aaaa00
12[97],14[84],??????????????????????????????????????????,42,#888888
7[196],11[209],??????????????????????????????????????????,42,#aaaa00
8[237],6[224],??????????????????????????????????????????,42,#03b6a2
0[181],2[168],??????????????????????????????????????????,42,#cc0000
33[98],31[111],??????????????????????????????????????????,42,#888888
33[224],35[237],??????????????????????????????????????????,42,#333333
29[126],27[139],??????????????????????????????????????????,42,#b8056c
30[55],32[42],??????????????????????????????????????????,42,#aaaa00
20[167],22[154],??????????????????????????????????????????,42,#aaaa00
21[56],19[69],??????????????????????????????????????????,42,#1700de
25[154],29[167],??????????????????????????????????????????,42,#57bb00
17[84],15[97],??????????????????????????????????????????,42,#57bb00
9[140],7[153],??????????????????????????????????????????,42,#b8056c
7[70],11[83],??????????????????????????????????????????,42,#007200
6[97],8[84],??????????????????????????????????????????,42,#cc0000
6[223],8[210],??????????????????????????????????????????,42,#333333
7[112],11[125],??????????????????????????????????????????,42,#f74308
3[182],1[195],??????????????????????????????????????????,42,#57bb00
35[126],33[139],??????????????????????????????????????????,42,#f74308
22[111],18[98],??????????????????????????????????????????,42,#1700de
26[83],28[70],??????????????????????????????????????????,42,#03b6a2
26[209],28[196],??????????????????????????????????????????,42,#03b6a2
27[224],29[237],??????????????????????????????????????????,42,#1700de
10[69],6[56],??????????????????????????????????????????,42,#57bb00
20[83],22[70],??????????????????????????????????????????,42,#007200
15[182],13[195],??????????????????????????????????????????,42,#f74308
14[167],16[154],??????????????????????????????????????????,42,#b8056c
24[181],26[168],??????????????????????????????????????????,42,#f74308
25[70],29[83],??????????????????????????????????????????,42,#f7931e
25[196],29[209],??????????????????????????????????????????,42,#57bb00
30[139],32[126],??????????????????????????????????????????,42,#57bb00
22[69],18[56],??????????????????????????????????????????,42,#03b6a2
17[126],15[139],??????????????????????????????????????????,42,#57bb00
20[209],22[196],??????????????????????????????????????????,42,#1700de
5[210],3[223],??????????????????????????????????????????,42,#7300de
3[140],1[153],??????????????????????????????????????????,42,#333333
12[139],14[126],??????????????????????????????????????????,42,#57bb00
13[154],17[167],??????????????????????????????????????????,42,#cc0000
5[84],3[97],??????????????????????????????????????????,42,#aaaa00
